SI_NO,SKU_Codes,Brand_Name,Item_name,Category,Quantities,UQC,ordered_unit,family_key
516.0,THE-BAK-CHO-4*45GM,the baker's dozen,choco chip muffin,bakery,4 * 45 gm,GM,packets,the baker's dozen choco chip muffin
517.0,AMU-DAI-BUT-200ML,amul masti,buttermilk,dairy,200 ml,ML,packets,amul masti buttermilk
518.0,NOI-DAI-BUT-500ML,noice,buttermilk,dairy,500 ml,ML,packets,noice buttermilk
519.0,MOT-DAI-TAD-270ML,mother dairy,tadka chach,dairy,270 ml,ML,packets,mother dairy tadka chach
520.0,EPI-BEV-STR-180ML,epigamia,strawberry milkshake,beverages,180 ml,ML,packets,epigamia strawberry milkshake
521.0,NES-BEV-COL-100ML,nescafe,cold coffee,beverages,100 ml,ML,jars,nescafe cold coffee
522.0,NES-BEV-CHO-200ML,nescafe,choco latte,beverages,200 ml,ML,packets,nescafe choco latte
523.0,NES-BEV-COL-3*100ML,nescafe,cold coffee classic,beverages,3 * 100 ml,ML,jars,nescafe cold coffee classic
524.0,CAV-BEV-COL-180ML,cavin's,cold coffee,beverages,180 ml,ML,jars,cavin's cold coffee
525.0,THE-GRA-WHO-350GM,the health factory,whole wheat bread,grains,350 gm,GM,loaves,the health factory whole wheat bread
526.0,NOI-GRA-WHO-250GM,noice,whole wheat bread,grains,250 gm,GM,loaves,noice whole wheat bread
527.0,NOI-GRA-LAA-240GM,noice,laadi pav,grains,240 gm,GM,packets,noice laadi pav
528.0,NOI-GRA-BUT-250GM,noice,buttery milk bread,grains,250 gm,GM,loaves,noice buttery milk bread
529.0,MOD-GRA-BRO-400GM,modern,brown bread,grains,400 gm,GM,loaves,modern brown bread
530.0,MOD-GRA-BUR-280GM,modern,burger bun,grains,280 gm,GM,packets,modern burger bun
531.0,NOI-PRO-BRO-6PCS,noice,brown eggs,protein,6 pcs,PCS,packets,noice brown eggs
532.0,ENG-GRA-MUL-400GM,english oven,multigrain bread,grains,400 gm,GM,loaves,english oven multigrain bread
533.0,MAG-INS-MAS-4PCS,maggie,masala noodles,instant food,4 pcs,PCS,packets,maggie masala noodles
534.0,LAY-PAC-CRE-5PACKET,lay's,cream & onion chips,packaged food,5 Packet,PKT,packets,lay's cream & onion chips
535.0,BIN-PAC-CHI-2PACKET,bingo,chilli sprinkled potato chips,packaged food,2 Packet ,PKT,packets,bingo chilli sprinkled potato chips
536.0,KUR-PAC-CHE-3*80GM,kurkure,cheese puffcorn,packaged food,3 * 80 gm,GM,packets,kurkure cheese puffcorn
537.0,PAT-STA-BES-500GM,patanjali,besan,staples,500 gm,GM,packets,patanjali besan
538.0,SIL-STA-BES-1KG,silver coin,besan,staples,1 kg,KG,packets,silver coin besan
539.0,PAT-STA-BAJ-3KG,patanjali,bajra atta,staples,3 kg,KG,packets,patanjali bajra atta
540.0,PAT-HEA-OAT-200GM,patanjali,oats,healthy food,200 gm,GM,packets,patanjali oats
541.0,PAT-SWE-GUR-1KG,patanjali,gur,sweets,1 kg,KG,packets,patanjali gur
542.0,AMU-DAI-GOL-500ML,amul,gold milk,dairy,500 ml,ML,packets,amul gold milk
543.0,MOT-DAI-TON-500ML,mother dairy,toned milk,dairy,500 ml,ML,packets,mother dairy toned milk
544.0,NAN-DAI-FRE-1LTR,nandini,fresh milk,dairy,1 ltr,LTR,packets,nandini fresh milk
545.0,DAN-DAI-GRE-100GM,danone,greek yogurt,dairy,100 gm ,GM,packets,danone greek yogurt
546.0,BRI-DAI-CHE-100GM,britannia,cheese spread,dairy,100 gm ,GM,packets,britannia cheese spread
547.0,NES-DAI-SLI-1LTR,nestlé,slim milk,dairy,1 ltr,LTR,packets,nestlé slim milk
548.0,GOV-DAI-PAN-500GM,govardhan,paneer,dairy,500 gm,GM,packets,govardhan paneer
549.0,VER-DAI-LAS-200ML,verka,lassi,dairy,200 ml,ML,packets,verka lassi
550.0,PAT-DAI-COW-250ML,patanjali,cow ghee,dairy,250 ml,ML,jars,patanjali cow ghee
551.0,EPI-DAI-GRE-90GM,epigamia,greek yogurt,dairy,90 gm,GM,packets,epigamia greek yogurt
552.0,FOR-OIL-SUN-1LTR,fortune,sunlite oil,oil,1 ltr,LTR,bottles,fortune sunlite oil
553.0,SAF-OIL-ORY-1LTR,saffola,oryzanol oil,oil,1 ltr,LTR,bottles,saffola oryzanol oil
555.0,GEM-OIL-REF-1LTR,gemini,refined oil,oil,1 ltr,LTR,bottles,gemini refined oil
556.0,GOL-OIL-SUN-1LTR,gold winner,sunflower oil,oil,1 ltr,LTR,bottles,gold winner sunflower oil
557.0,DAL-OIL-VAN-1LTR,dalda,vanaspati,oil,1 ltr,LTR,packets,dalda vanaspati
558.0,BOR-OIL-OLI-500ML,borges,olive oil,oil,500 ml,ML,bottles,borges olive oil
559.0,FIG-OIL-OLI-250ML,figaro,olive oil,oil,250 ml,ML,bottles,figaro olive oil
560.0,BER-OIL-VIR-500ML,bertolli,extra virgin olive oil,oil,500 ml,ML,bottles,bertolli extra virgin olive oil
561.0,CAT-SPI-AJW-50GM,catch,ajwain,spices,50 gm,GM,packets,catch ajwain
562.0,MDH-SPI-PAV-100GM,mdh,pav bhaji masala,spices,100 gm ,GM,packets,mdh pav bhaji masala
563.0,EVE-SPI-SAB-100GM,everest,sabzi masala,spices,100 gm ,GM,packets,everest sabzi masala
564.0,EAS-SPI-CHI-100GM,eastern,chicken masala,spices,100 gm ,GM,packets,eastern chicken masala
565.0,AAC-SPI-RAS-200GM,aachi,rasam powder,spices,200 gm,GM,packets,aachi rasam powder
566.0,KEY-SPI-ITA-50GM,keya,italian seasoning,spices,50 gm,GM,packets,keya italian seasoning
567.0,TAT-SPI-COR-200GM,tata sampann,coriander powder,spices,200 gm,GM,packets,tata sampann coriander powder
568.0,CAT-SPI-MUS-100GM,catch,mustard seeds,spices,100 gm ,GM,packets,catch mustard seeds
569.0,EVE-SPI-BIR-100GM,everest,biryani masala,spices,100 gm ,GM,packets,everest biryani masala
570.0,VIM-CLE-DIS-500ML,vim,dishwash liquid,cleaning,500 ml,ML,packets,vim dishwash liquid
571.0,PRI-CLE-DIS-425ML,pril,dishwash liquid,cleaning,425 ml,ML,packets,pril dishwash liquid
572.0,EXO-CLE-DIS-250GM,exo,dishwash bar,cleaning,250 gm,GM,packets,exo dishwash bar
573.0,VIM-CLE-DIS-250GM,vim,dishwash bar,cleaning,250 gm,GM,packets,vim dishwash bar
574.0,SUR-LAU-LIQ-500ML,surf excel,liquid detergent,laundry,500 ml,ML,packets,surf excel liquid detergent
575.0,TID-LAU-DET-1KG,tide,detergent powder,laundry,1 kg,KG,packets,tide detergent powder
576.0,WHE-LAU-DET-500GM,wheel,detergent powder,laundry,500 gm,GM,packets,wheel detergent powder
577.0,UJA-LAU-FAB-250ML,ujala,fabric whitener,laundry,250 ml,ML,packets,ujala fabric whitener
578.0,COM-LAU-AFT-500ML,comfort,after wash,laundry,500 ml,ML,packets,comfort after wash
579.0,DOM-CLE-TOI-500ML,domex,toilet cleaner,cleaning,500 ml,ML,bottles,domex toilet cleaner
580.0,MRM-CLE-BAT-500ML,mr muscle,bathroom cleaner,cleaning,500 ml,ML,bottles,mr muscle bathroom cleaner
581.0,GOD-HOM-AIR-220ML,godrej,air freshener,home,220 ml,ML,packets,godrej air freshener
582.0,AMB-HOM-CAR-45ML,ambi pur,car air freshener,home,45 ml,ML,packets,ambi pur car air freshener
583.0,GOO-SAF-LIQ-1PCS,goodknight,liquid refill,safety,1 pcs,PCS,packets,goodknight liquid refill
584.0,MOR-SAF-COC-400ML,mortein,cockroach spray,safety,400 ml,ML,packets,mortein cockroach spray
585.0,DET-HEA-ANT-100ML,dettol,antiseptic liquid,health,100 ml,ML,packets,dettol antiseptic liquid
586.0,SAV-HEA-ANT-200ML,savlon,antiseptic liquid,health,200 ml,ML,packets,savlon antiseptic liquid
587.0,WHI-HYG-ULT-8PCS,whisper,ultra pads,hygiene,8 pcs,PCS,packets,whisper ultra pads
588.0,STA-HYG-XL-6PCS,stayfree,xl pads,hygiene,6 pcs,PCS,packets,stayfree xl pads
589.0,CAR-HYG-PAN-20PCS,carefree,panty liners,hygiene,20 pcs,PCS,packets,carefree panty liners
590.0,PAM-BAB-PAN-15PCS,pampers,pants diapers,baby care,15 pcs,PCS,packs,pampers pants diapers
591.0,MEE-BAB-LOT-200ML,mee mee,baby lotion,baby care,200 ml,ML,packets,mee mee baby lotion
592.0,JOH-BAB-SHA-100ML,johnson’s,baby shampoo,baby care,100 ml,ML,packets,johnson’s baby shampoo
593.0,CHI-BAB-SOA-75GM,chicco,baby soap,baby care,75 gm,GM,packets,chicco baby soap
594.0,PED-PET-BIS-500GM,pedigree,biscrok dog treat,pet care,500 gm,GM,packets,pedigree biscrok dog treat
595.0,DRO-PET-CHI-3KG,drools,chicken dog food,pet care,3 kg,KG,packets,drools chicken dog food
596.0,WHI-PET-TUN-1.2KG,whiskas,tuna cat food,pet care,1.2 kg,KG,packets,whiskas tuna cat food
597.0,HIM-PER-NEE-100ML,himalaya,neem face wash,personal,100 ml,ML,tubes,himalaya neem face wash
598.0,CLE-PER-FAC-50ML,clean & clear,face wash,personal,50 ml,ML,tubes,clean & clear face wash
599.0,BIO-PER-PAP-75GM,biotique,bio papaya scrub,personal,75 gm ,GM,packets,biotique bio papaya scrub
600.0,GAR-PER-SHE-1PCS,garnier,sheet mask,personal,1 pcs,PCS,packets,garnier sheet mask
601.0,DOV-HAR-CON-80ML,dove,hair conditioner,hair,80 ml,ML,packets,dove hair conditioner
602.0,PAN-HAR-MAS-200ML,pantene,hair mask,hair,200 ml,ML,packets,pantene hair mask
603.0,SUN-HAR-MAS-200ML,sunsilk,hair mask,hair,200 ml,ML,packets,sunsilk hair mask
604.0,TRES-HAR-SHA-580ML,tresemme,shampoo,hair,580 ml,ML,packets,tresemme shampoo
605.0,LOR-HAR-COL-175ML,l’oréal,color protect shampoo,hair,175 ml,ML,packets,l’oréal color protect shampoo
606.0,LOR-HAR-SER-100ML,loreal,hair serum,hair,100 ml,ML,packets,loreal hair serum
607.0,VEE-PER-HAI-50GM,veet,hair removal cream,personal,50 gm,GM,packets,veet hair removal cream
608.0,GIL-PER-SHA-70GM,gillette,shaving cream,personal,70 gm,GM,packets,gillette shaving cream
609.0,NIV-PER-SOF-200ML,nivea,soft cream,personal,200 ml,ML,packets,nivea soft cream
610.0,VAS-PER-ALO-300ML,vaseline,aloe lotion,personal,300 ml,ML,packets,vaseline aloe lotion
611.0,ENC-PER-TAL-100GM,enchanteur,talc powder,personal,100 gm ,GM,packets,enchanteur talc powder
612.0,BOR-PER-NIG-40GM,boroline,night cream,personal,40 gm,GM,packets,boroline night cream
613.0,KAP-HEA-ALO-1LTR,kapiva,aloe vera juice,health,1 ltr,LTR,bottles,kapiva aloe vera juice
614.0,DAB-HEA-GIL-1LTR,dabur,giloy juice,health,1 ltr,LTR,bottles,dabur giloy juice
615.0,PAT-HEA-ALO-150ML,patanjali,aloe vera gel,health,150 ml,ML,packets,patanjali aloe vera gel
616.0,MUS-NUT-WHE-1KG,muscleblaze,whey protein,nutrition,1 kg,KG,packets,muscleblaze whey protein
617.0,OPT-NUT-PRO-2LB,optimum nutrition,protein powder,nutrition,2 lb,LB,packets,optimum nutrition protein powder
618.0,HOR-NUT-WOM-400GM,horlicks,women’s plus,nutrition,400 gm,GM,packets,horlicks women’s plus
619.0,BOU-NUT-LIL-400GM,bournvita,lil champs,nutrition,400 gm,GM,packets,bournvita lil champs
620.0,COM-NUT-NUT-400GM,complan,nutrition drink,nutrition,400 gm,GM,packets,complan nutrition drink
621.0,PED-NUT-PED-400GM,pediasure,nutrition powder,nutrition,400 gm,GM,packets,pediasure nutrition powder
622.0,BLU-BEV-PAC-500ML,blue star,packaged water,beverage,500 ml,ML,packets,blue star packaged water
623.0,PAP-BEV-AAM-250ML,paper boat,aam panna,beverage,250 ml,ML,packets,paper boat aam panna
626.0,BAD-BEV-JEE-250ML,badshah,jeera masala soda,beverage,250 ml,ML,packets,badshah jeera masala soda
628.0,GUL-SWE-JAM-1KG,gulab,jamun tin,sweets,1 kg,KG,jars,gulab jamun tin
631.0,GIT-RDM-DHO-200GM,gits,dhokla mix,ready mix,200 gm,GM,packets,gits dhokla mix
637.0,HEN-SAU-TOM-300GM,heinz,tomato ketchup,sauces,300 g,GM,packets,heinz tomato ketchup
638.0,OLD-RTC-TOR-6PCS,old el paso,tortilla wrap,ready to cook,6 pcs,PCS,packets,old el paso tortilla wrap
642.0,GOD-SOF-SOY-1LTR,godiva,soy milk,soft drink,1 ltr,LTR,packets,godiva soy milk
643.0,LIP-ORG-COC-100GM,lipton,coconut cream,organic,100 gm ,GM,packets,lipton coconut cream
644.0,TWI-IMP-CHI-200GM,twinings,chicken wings,imported,200 gm,GM,packets,twinings chicken wings
645.0,ORE-SPE-OLI-1KG,oreo mini,olive tapenade,specialty,1 kg,KG,packets,oreo mini olive tapenade
646.0,FAN-DAI-PAS-6PCS,fanta,pasta sauce,dairy,6 pcs,PCS,packets,fanta pasta sauce
647.0,MOU-OIL-RIC-750ML,mountain dew,rice crackers,oil,750 ml,ML,bags,mountain dew rice crackers
648.0,RED-SNA-HAZ-300ML,red bull,hazelnut spread,snacks,300 ml,ML,packets,red bull hazelnut spread
649.0,PIP-SPI-PRE-400GM,pipers,premium tea,spices,400 gm,GM,packets,pipers premium tea
650.0,TIL-BEV-GRE-2LB,tilda,green tea,beverage,2 lb,LB,packets,tilda green tea
651.0,HEE-FRO-MIN-500ML,heera,mini biscuits,frozen,500 ml,ML,packs,heera mini biscuits
652.0,LIN-CON-ORA-1LTR,lindt,orange soda,condiments,1 ltr,LTR,packets,lindt orange soda
653.0,SMU-SAU-ENE-100GM ,smucker's,energy drink,sauces,100 gm ,GM,packets,smucker's energy drink
654.0,HEL-CER-GOU-200GM,hellmann's,gourmet crisps,cereal,200 gm,GM,packets,hellmann's gourmet crisps
655.0,ELP-PRO-JAS-1KG,el paso,jasmine rice,protein,1 kg,KG,bags,el paso jasmine rice
656.0,SNY-BAK-WHO-6PCS,snyder's,whole spices,baking,6 pcs,PCS,packets,snyder's whole spices
657.0,TRO-SOF-DAR-750ML,tropolite,dark chocolate,soft drink,750 ml,ML,packs,tropolite dark chocolate
658.0,SWE-ORG-FRU-300ML,sweet'n low,fruit jam,organic,300 ml,ML,jars,sweet'n low fruit jam
659.0,BET-IMP-MAY-400GM,bettys,mayonnaise,imported,400 gm,GM,packets,bettys mayonnaise
660.0,NAN-SPE-TOR-2LB,nando's,tortilla chips,specialty,2 lb,LB,packets,nando's tortilla chips
661.0,MCC-DAI-PRE-500ML,mccafe,pretzel sticks,dairy,500 ml,ML,packets,mccafe pretzel sticks
662.0,FOL-OIL-WHI-1LTR,folgers,whipping cream,oil,1 ltr,LTR,packets,folgers whipping cream
663.0,HÄA-SNA-SUG-100GM,häagen-dazs,sugar substitute,snacks,100 gm ,GM,packets,häagen-dazs sugar substitute
664.0,DRO-SPI-ICI-200GM,dr. oetker,icing sugar,spices,200 gm,GM,packets,dr. oetker icing sugar
665.0,PLA-BEV-PER-1KG,planet oat,peri peri sauce,beverage,1 kg,KG,packets,planet oat peri peri sauce
666.0,BEY-FRO-COL-6PCS,beyond meat,cold brew coffee,frozen,6 pcs,PCS,jars,beyond meat cold brew coffee
667.0,JUS-CON-GRE-750ML,just mayo,greek yogurt,condiments,750 ml,ML,packets,just mayo greek yogurt
668.0,JIF-SAU-FRO-300ML,jif,frozen cake,sauces,300 ml,ML,packets,jif frozen cake
669.0,BOB-CER-MEA-400GM,bob's red mill,meat substitute,cereal,400 gm,GM,packets,bob's red mill meat substitute
670.0,ANN-PRO-VEG-2LB,annapurna,vegan spread,protein,2 lb,LB,packets,annapurna vegan spread
671.0,TET-BAK-PEA-500ML,tetley,peanut butter,baking,500 ml,ML,packets,tetley peanut butter
672.0,RED-SOF-OAT-1LTR,red cow,oats,soft drink,1 ltr,LTR,packets,red cow oats
673.0,DRP-ORG-PRE-100GM,dr pepper,premium atta,organic,100 gm ,GM,packets,dr pepper premium atta
674.0,SUN-IMP-CHA-200GM,sunfeast gold,chai latte,imported,200 gm,GM,packets,sunfeast gold chai latte
675.0,SUN-SPE-FRE-1KG,sun orchard,fresh cream,specialty,1 kg,KG,packets,sun orchard fresh cream
676.0,BAR-DAI-SOF-6PCS,barbican,soft drink,dairy,6 pcs,PCS,bottles,barbican soft drink
677.0,HAR-OIL-PRO-750ML,haribo,protein shake,oil,750 ml,ML,packets,haribo protein shake
678.0,PIL-SNA-CHO-300ML,pillsbury dough,chocolate spread,snacks,300 ml,ML,packs,pillsbury dough chocolate spread
679.0,STO-SPI-WHO-400GM,stonyfield,whole wheat flour,spices,400 gm,GM,packets,stonyfield whole wheat flour
680.0,SAR-BEV-KIW-2LB,sargento,kiwi juice,beverage,2 lb,LB,bottles,sargento kiwi juice
681.0,IDF-FRO-ALM-500ML,id fresh,almond milk,frozen,500 ml,ML,packets,id fresh almond milk
682.0,ORG-CON-SOY-1LTR,organic valley,soy milk,condiments,1 ltr,LTR,packets,organic valley soy milk
683.0,ANA-SAU-COC-100GM,ananda,coconut cream,sauces,100 gm ,GM,packets,ananda coconut cream
684.0,SEA-CER-CHI-200GM,seara,chicken wings,cereal,200 gm,GM,packets,seara chicken wings
685.0,REA-PRO-OLI-1KG,real thai,olive tapenade,protein,1 kg,KG,packets,real thai olive tapenade
686.0,BAR-BAK-PAS-6PCS,barilla,pasta sauce,baking,6 pcs,PCS,packets,barilla pasta sauce
687.0,BLU-SOF-RIC-750ML,blue diamond,rice crackers,soft drink,750 ml,ML,bags,blue diamond rice crackers
688.0,NAT-ORG-HAZ-300ML,nature valley,hazelnut spread,organic,300 ml,ML,packets,nature valley hazelnut spread
689.0,FER-IMP-PRE-400GM,ferrero,premium tea,imported,400 gm,GM,packets,ferrero premium tea
690.0,NES-SPE-GRE-2LB,nestlé gold,green tea,specialty,2 lb,LB,packets,nestlé gold green tea
691.0,GOD-DAI-MIN-500ML,godiva,mini biscuits,dairy,500 ml,ML,packs,godiva mini biscuits
692.0,LIP-OIL-ORA-1LTR,lipton,orange soda,oil,1 ltr,LTR,packets,lipton orange soda
693.0,TWI-SNA-ENE-100GM,twinings,energy drink,snacks,100 gm ,GM,packets,twinings energy drink
694.0,ORE-SPI-GOU-200GM,oreo mini,gourmet crisps,spices,200 gm,GM,packets,oreo mini gourmet crisps
695.0,FAN-BEV-JAS-1KG,fanta,jasmine rice,beverage,1 kg,KG,bags,fanta jasmine rice
696.0,MOU-FRO-WHO-6PCS,mountain dew,whole spices,frozen,6 pcs,PCS,packets,mountain dew whole spices
697.0,RED-CON-DAR-750ML,red bull,dark chocolate,condiments,750 ml,ML,packs,red bull dark chocolate
698.0,PIP-SAU-FRU-300ML,pipers,fruit jam,sauces,300 ml,ML,jars,pipers fruit jam
699.0,TIL-CER-MAY-400GM,tilda,mayonnaise,cereal,400 gm,GM,packets,tilda mayonnaise
700.0,HEE-PRO-TOR-2LB,heera,tortilla chips,protein,2 lb,LB,packets,heera tortilla chips
701.0,LIN-BAK-PRE-500ML,lindt,pretzel sticks,baking,500 ml,ML,packets,lindt pretzel sticks
702.0,SMU-SOF-WHI-1LTR,smucker's,whipping cream,soft drink,1 ltr,LTR,packets,smucker's whipping cream
703.0,HEL-ORG-SUG-100GM,hellmann's,sugar substitute,organic,100 gm ,GM,packets,hellmann's sugar substitute
704.0,ELP-IMP-ICI-200GM,el paso,icing sugar,imported,200 gm,GM,packets,el paso icing sugar
705.0,SNY-SPE-PER-1KG,snyder's,peri peri sauce,specialty,1 kg,KG,packets,snyder's peri peri sauce
706.0,TRO-DAI-COL-6PCS,tropolite,cold brew coffee,dairy,6 pcs,PCS,jars,tropolite cold brew coffee
707.0,SWE-OIL-GRE-750ML,sweet'n low,greek yogurt,oil,750 ml,ML,packets,sweet'n low greek yogurt
708.0,BET-SNA-FRO-300ML,bettys,frozen cake,snacks,300 ml,ML,packets,bettys frozen cake
709.0,NAN-SPI-MEA-400GM,nando's,meat substitute,spices,400 g,GM,packets,nando's meat substitute
710.0,MCC-BEV-VEG-2LB,mccafe,vegan spread,beverage,2 lb,LB,packets,mccafe vegan spread
711.0,FOL-FRO-PEA-500ML,folgers,peanut butter,frozen,500 ml,ML,packets,folgers peanut butter
712.0,HÄA-CON-OAT-1LTR,häagen-dazs,oats,condiments,1 ltr,LTR,packets,häagen-dazs oats
713.0,DRO-SAU-PRE-100GM,dr. oetker,premium atta,sauces,100 gm ,GM,packets,dr. oetker premium atta
714.0,PLA-CER-CHA-200GM,planet oat,chai latte,cereal,200 gm,GM,packets,planet oat chai latte
715.0,BEY-PRO-FRE-1KG,beyond meat,fresh cream,protein,1 kg,KG,packets,beyond meat fresh cream
716.0,JUS-BAK-SOF-6PCS,just mayo,soft drink,baking,6 pcs,PCS,bottles,just mayo soft drink
717.0,JIF-SOF-PRO-750ML,jif,protein shake,soft drink,750 ml,ML,packets,jif protein shake
718.0,BOB-ORG-CHO-300ML,bob's red mill,chocolate spread,organic,300 ml,ML,packs,bob's red mill chocolate spread
719.0,ANN-IMP-WHO-400GM,annapurna,whole wheat flour,imported,400 gm,GM,packets,annapurna whole wheat flour
720.0,TET-SPE-KIW-2LB,tetley,kiwi juice,specialty,2 lb,LB,bottles,tetley kiwi juice
721.0,RED-DAI-ALM-500ML,red cow,almond milk,dairy,500 ml,ML,packets,red cow almond milk
722.0,DRP-OIL-SOY-1LTR,dr pepper,soy milk,oil,1 ltr,LTR,packets,dr pepper soy milk
723.0,SUN-SNA-COC-100GM,sunfeast gold,coconut cream,snacks,100 gm ,GM,packets,sunfeast gold coconut cream
724.0,SUN-SPI-CHI-200GM,sun orchard,chicken wings,spices,200 gm,GM,packets,sun orchard chicken wings
725.0,BAR-BEV-OLI-1KG,barbican,olive tapenade,beverage,1 kg,KG,packets,barbican olive tapenade
726.0,HAR-FRO-PAS-6PCS,haribo,pasta sauce,frozen,6 pcs,PCS,packets,haribo pasta sauce
727.0,PIL-CON-RIC-750ML,pillsbury dough,rice crackers,condiments,750 ml,ML,bags,pillsbury dough rice crackers
728.0,STO-SAU-HAZ-300ML,stonyfield,hazelnut spread,sauces,300 ml,ML,packets,stonyfield hazelnut spread
729.0,SAR-CER-PRE-400GM,sargento,premium tea,cereal,400 gm,GM,packets,sargento premium tea
730.0,IDF-PRO-GRE-2LB,id fresh,green tea,protein,2 lb,LB,packets,id fresh green tea
731.0,ORG-BAK-MIN-500ML,organic valley,mini biscuits,baking,500 ml,ML,packs,organic valley mini biscuits
732.0,ANA-SOF-ORA-1LTR,ananda,orange soda,soft drink,1 ltr,LTR,packets,ananda orange soda
733.0,SEA-ORG-ENE-100GM,seara,energy drink,organic,100 gm ,GM,packets,seara energy drink
734.0,REA-IMP-GOU-200GM,real thai,gourmet crisps,imported,200 gm,GM,packets,real thai gourmet crisps
735.0,BAR-SPE-JAS-1KG,barilla,jasmine rice,specialty,1 kg,KG,bags,barilla jasmine rice
736.0,BLU-DAI-WHO-6PCS,blue diamond,whole spices,dairy,6 pcs,PCS,packets,blue diamond whole spices
737.0,NAT-OIL-DAR-750ML,nature valley,dark chocolate,oil,750 ml,ML,packs,nature valley dark chocolate
738.0,FER-SNA-FRU-300ML,ferrero,fruit jam,snacks,300 ml,ML,jars,ferrero fruit jam
739.0,NES-SPI-MAY-400GM,nestlé gold,mayonnaise,spices,400 gm,GM,packets,nestlé gold mayonnaise
740.0,GOD-BEV-TOR-2LB,godiva,tortilla chips,beverage,2 lb,LB,packets,godiva tortilla chips
741.0,LIP-FRO-PRE-500ML,lipton,pretzel sticks,frozen,500 ml,ML,packets,lipton pretzel sticks
742.0,TWI-CON-WHI-1LTR,twinings,whipping cream,condiments,1 ltr,LTR,packets,twinings whipping cream
743.0,ORE-SAU-SUG-100GM,oreo mini,sugar substitute,sauces,100 gm ,GM,packets,oreo mini sugar substitute
744.0,FAN-CER-ICI-200GM,fanta,icing sugar,cereal,200 gm,GM,packets,fanta icing sugar
745.0,MOU-PRO-PER-1KG,mountain dew,peri peri sauce,protein,1 kg,KG,packets,mountain dew peri peri sauce
746.0,RED-BAK-COL-6PCS,red bull,cold brew coffee,baking,6 pcs,PCS,jars,red bull cold brew coffee
747.0,PIP-SOF-GRE-750ML,pipers,greek yogurt,soft drink,750 ml,ML,packets,pipers greek yogurt
748.0,TIL-ORG-FRO-300ML,tilda,frozen cake,organic,300 ml,ML,packets,tilda frozen cake
749.0,HEE-IMP-MEA-400GM,heera,meat substitute,imported,400 gm,GM,packets,heera meat substitute
750.0,LIN-SPE-VEG-2LB,lindt,vegan spread,specialty,2 lb,LB,packets,lindt vegan spread
751.0,SMU-DAI-PEA-500ML,smucker's,peanut butter,dairy,500 ml,ML,packets,smucker's peanut butter
752.0,HEL-OIL-OAT-1LTR,hellmann's,oats,oil,1 ltr,LTR,packets,hellmann's oats
753.0,ELP-SNA-PRE-100GM,el paso,premium atta,snacks,100 gm ,GM,packets,el paso premium atta
754.0,SNY-SPI-CHA-200GM,snyder's,chai latte,spices,200 gm,GM,packets,snyder's chai latte
755.0,TRO-BEV-FRE-1KG,tropolite,fresh cream,beverage,1 kg,KG,packets,tropolite fresh cream
756.0,SWE-FRO-SOF-6PCS,sweet'n low,soft drink,frozen,6 pcs,PCS,bottles,sweet'n low soft drink
757.0,BET-CON-PRO-750ML,bettys,protein shake,condiments,750 ml,ML,packets,bettys protein shake
758.0,NAN-SAU-CHO-300ML,nando's,chocolate spread,sauces,300 ml,ML,packs,nando's chocolate spread
759.0,MCC-CER-WHO-400GM,mccafe,whole wheat flour,cereal,400 gm,GM,packets,mccafe whole wheat flour
760.0,FOL-PRO-KIW-2LB,folgers,kiwi juice,protein,2 lb,LB,bottles,folgers kiwi juice
761.0,HÄA-BAK-ALM-500ML,häagen-dazs,almond milk,baking,500 ml,ML,packets,häagen-dazs almond milk
762.0,DRO-SOF-SOY-1LTR,dr. oetker,soy milk,soft drink,1 ltr,LTR,packets,dr. oetker soy milk
763.0,PLA-ORG-COC-100GM,planet oat,coconut cream,organic,100 gm,GM,packets,planet oat coconut cream
764.0,BEY-IMP-CHI-200GM,beyond meat,chicken wings,imported,200 gm,GM,packets,beyond meat chicken wings
765.0,JUS-SPE-OLI-1KG,just mayo,olive tapenade,specialty,1 kg,KG,packets,just mayo olive tapenade
766.0,JIF-DAI-PAS-6PCS,jif,pasta sauce,dairy,6 pcs,PCS,packets,jif pasta sauce
767.0,BOB-OIL-RIC-750ML,bob's red mill,rice crackers,oil,750 ml,ML,bags,bob's red mill rice crackers
768.0,ANN-SNA-HAZ-300ML,annapurna,hazelnut spread,snacks,300 ml,ML,packets,annapurna hazelnut spread
769.0,TET-SPI-PRE-400GM,tetley,premium tea,spices,400 gm,GM,packets,tetley premium tea
770.0,RED-BEV-GRE-2LB,red cow,green tea,beverage,2 lb,LB,packets,red cow green tea
771.0,DRP-FRO-MIN-500ML,dr pepper,mini biscuits,frozen,500 ml,ML,packs,dr pepper mini biscuits
772.0,SUN-CON-ORA-1LTR,sunfeast gold,orange soda,condiments,1 ltr,LTR,packets,sunfeast gold orange soda
773.0,SUN-SAU-ENE-100GM,sun orchard,energy drink,sauces,100 gm,GM,packets,sun orchard energy drink
774.0,BAR-CER-GOU-200GM,barbican,gourmet crisps,cereal,200 gm,GM,packets,barbican gourmet crisps
775.0,HAR-PRO-JAS-1KG,haribo,jasmine rice,protein,1 kg,KG,bags,haribo jasmine rice
776.0,PIL-BAK-WHO-6PCS,pillsbury dough,whole spices,baking,6 pcs,PCS,packets,pillsbury dough whole spices
777.0,STO-SOF-DAR-750ML,stonyfield,dark chocolate,soft drink,750 ml,ML,packs,stonyfield dark chocolate
